conversation_index,question
1,"Question: Un aéronef civil peut-il circuler sans immatriculation en Tunisie?

Documents pertinents:
[1] Source: article 3 du Code de l'aéronautique civile
Un aéronef civil ne peut circuler que s'il est immatriculé."
2,"Question: Je suis un entrepreneur tunisien. Dans quelles conditions un aéronef que j'importe peut-il être immatriculé en Tunisie, et peut-il perdre cette nationalité par la suite?

Documents pertinents:
[1] Source: article 4 du Code de l'aéronautique civile
Un aéronef civil ne peut être immatriculé en Tunisie qu'il appartient pour 51% au moins à une personne ou des personnes physiques ou morales tunisiennes. Le Ministre chargé de l'Aviation Civile peut autoriser, à titre exceptionnel, l'immatriculation des aéronefs ne remplissant pas cette condition.

[2] Source: article 7 du Code de l'aéronautique civile
Sans préjudice aux droits inscrits, un aéronef immatriculé en Tunisie perd la nationalité tunisienne s'il ne remplit plus les conditions prévues à l'article 4 du présent code ou si son propriétaire le fait immatriculer à l'étranger."
3,"Question: Un propriétaire d'aéronef qui loue son appareil à une compagnie est-il responsable des dommages causés par cet aéronef aux personnes ou biens au sol?

Documents pertinents:
[1] Source: article 83 du Code de l'aéronautique civile
L'exploitant d'un aéronef est responsable de plein droit des dommages causés par les évolutions de l'aéronef ou les objets qui s'en détacheraient, aux personnes et aux biens situés à la surface. Cette responsabilité ne peut être atténuée ou écartée que par la preuve de la faute de la victime.

[2] Source: article 85 du Code de l'aéronautique civile
Au cas de location d'un aéronef, le propriétaire et l'exploitant sont solidairement responsables vis à vis des tiers des dommages causés. Toutefois, si la location a été inscrite au registre d'immatriculation, le propriétaire n'en est responsable que si le tiers établit une faute de sa part."
4,"Question: Quelle est la procédure pour obtenir un certificat de navigabilité pour un drone de loisir de moins de 2 kg?

Documents pertinents:
[1] Source: article 73 du Code de l'aéronautique civile
Aucun aéronef n'est admis à la circulation aérienne s'il n'a, à son bord, les documents exigés par la législation en vigueur relatifs à l'immatriculation, à la navigabilité et à l'exploitation. La liste de ces documents ainsi que les conditions de leur délivrance, de leur retrait et de leur validité sont fixées par décret.

[2] Source: article 144 du Code de l'aéronautique civile
Les dispositions des articles 3 à 79 du présent code ne sont pas applicables aux aéronefs civils légers ou de catégorie déterminée utilisés uniquement à la circulation aérienne au-dessus du territoire de la République Tunisienne. La liste des aéronefs visés au présent article ainsi que les conditions techniques pour leur sont applicables sont fixées par décret."
5,"Question: Mon voisin a un petit avion de tourisme immatriculé en Tunisie. Il l'a prêté à un ami sans contrat écrit, et l'ami a causé un dommage à ma clôture en atterrissant chez moi. Qui est responsable?

Documents pertinents:
[1] Source: article 2 du Code de l'aéronautique civile
Exploitant d'aéronef : Toute personne physique ou morale qui se livre ou propose de se livrer à l'exploitation d'un ordre plusieurs aéronefs.

[2] Source: article 83 du Code de l'aéronautique civile
L'exploitant d'un aéronef est responsable de plein droit des dommages causés par les évolutions de l'aéronef ou les objets qui s'en détacheraient, aux personnes et aux biens situés à la surface. Cette responsabilité ne peut être atténuée ou écartée que par la preuve de la faute de la victime."
6,"Question: Je suis une banque. Nous avons consenti un prêt hypothécaire sur un aéronef. Combien de temps notre inscription hypothécaire reste-t-elle valable, et comment peut-elle être radiée si le prêt est remboursé?

Documents pertinents:
[1] Source: article 31 du Code de l'aéronautique civile
L'inscription de l'hypothèque pendant dix ans, à compter de sa date. Son effet cesse si l'inscription n'est pas renouvelée avant l'expiration de ce délai.

[2] Source: article 34 du Code de l'aéronautique civile
L'inscription de l'hypothèque est rayée par la production d'une mainlevée signée par le créancier ou en vertu d'une décision de justice ayant acquis force de chose jugée. Les inscriptions ne sont réduites que par l'accord des parties intéressées. La radiation ou la modification des inscriptions hypothécaires doivent faire l'objet d'une mention au registre d'immatriculation des aéronefs civils.

[3] Source: article 35 du Code de l'aéronautique civile
Sauf le cas de vente forcée, aucun transfert d'immatriculation d'un aéronef dans un autre Etat ne peut être effectué sans mainlevée préalable des droits inscrits ou sans le consentement de leurs titulaires."
7,"سؤال: ما هي آثار تسجيل طائرة مدنية في السجل التونسي لتسجيل الطائرات المدنية؟

الوثائق ذات الصلة:
[1] المصدر: الفصل 6 من مجلة الطيران المدني
كل طائرة مسجلة في السجل التونسي لتسجيل الطائرات المدنية لها الجنسية التونسية. يجب أن تحمل العلامات الظاهرة للجنسية والتسجيل كما تحدد بأمر من الوزير المكلف بالطيران المدني. يُمسك سجل تسجيل الطائرات المدنية من قبل المصالح المختصة التابعة للوزارة المكلفة بالطيران المدني. تُحدد بمقتضى أمر العمليات التي تؤدي إلى القيد في سجل تسجيل الطائرات المدنية وكذلك شروط وكيفيات التسجيل والقيد في هذا السجل."
8,"سؤال: ما هي الامتيازات التي ترتبط بالطائرة المدنية في القانون التونسي، وكيف تنقضي؟

الوثائق ذات الصلة:
[1] المصدر: الفصل 18 من مجلة الطيران المدني
تعتبر ممتازة، بالترتيب التالي، على جميع الحقوق والديون الأخرى التي ترهن الطائرة: أ) مصاريف العدالة المتكبدة لفائدة الدائنين مجتمعين للوصول إلى بيع الطائرة وتوزيع ثمنها، ب) الأجور المستحقة لإنقاذ الطائرة، ج) النفقات المتكبدة لحفظ الطائرة.

[2] المصدر: الفصل 19 من مجلة الطيران المدني
تتعلق الامتيازات المنصوص عليها في الفصل 18 من هذه المجلة بالطائرة أو بتعويض التأمين في حالة الفقدان أو العطب. وهي تتبع الطائرة أينما انتقلت. تنقضي بعد ثلاثة أشهر من الحدث الذي أوجدها ما لم يقم الدائن، قبل ذلك، بتسجيل دينه في سجل تسجيل الطائرات المدنية، بعد أن يعترف ودياً بمبلغه أو يُقيم دعوى قضائية بخصوصه. وتنقضي أيضاً في الحالات التالية: أ – البيع الجبري للطائرة، ب – تنازل الدائن أو الدائنين، ج – التصرف الإرادي للطائرة بشرط أن يتم تسجيل عقد التصرف الإرادي في سجل تسجيل الطائرات المدنية، وأن يتم نشر التصرف بمرتين وعلى الأقل بفارق ثمانية أيام في الرائد الرسمي للجمهورية التونسية وكذلك في إحدى الجرائد اليومية الصادرة في تونس، وألا يتم إخطار أي اعتراض من قبل الدائن سواء للمالك القديم أو الجديد خلال الشهر الذي يلي آخر نشر."
9,"سؤال: هل يحق للطائرات الأجنبية التحليق بحرية في الأجواء التونسية؟

الوثائق ذات الصلة:
[1] المصدر: الفصل 72 من مجلة الطيران المدني
للطائرات ذات الجنسية التونسية الحق في المرور بحرية في الفضاء الجوي التونسي في حدود أحكام هذه المجلة. لا يمكن للطائرات ذات الجنسية الأجنبية المرور فوق التراب التونسي إلا إذا مُنح هذا الحق بموجب ترتيب دبلوماسي، أو حصلت لهذا الغرض على ترخيص من الوزير المكلف بالطيران المدني للطائرات المدنية، ومن وزير الدفاع الوطني لطائرات الدولة. يجب أن يكون هذا الترخيص خاصاً ومؤقتاً.

[2] المصدر: الفصل 75 من مجلة الطيران المدني
يمكن حظر تحليق طائرات، وطنية كانت أم أجنبية، فوق كامل التراب أو جزء منه من الجمهورية التونسية لأسباب تتعلق بالضرورة العسكرية أو السلامة العمومية. تحدد الإجراءات المتعلقة بهذا الحظر بمقتضى أمر."
10,"سؤال: ما هي قيمة رسم المبيت للطائرات الخفيفة في مطار تونس قرطاج؟

الوثائق ذات الصلة:
[1] المصدر: الفصل 142 من مجلة الطيران المدني
الخدمات المقدمة للمستخدمين وللجمهور في منطقة معلومات الطيران وفي المنطقة العليا لمعلومات الطيران بتونس وعلى كل مطار مفتوح للملاحة الجوية العمومية تستوجب خلاص أداءات. قائمة هذه الأداءات وكذلك مقاديرها وطرق استخلاصها تحدد بمقتضى أمر. مع عدم الإخلال بأحكام الفقرة الثانية من هذا الفصل، تخضع الأداءات التي تحدد لائحتها وكيفيات التصديق عليها ومراقبة تطبيقها بمقتضى أمر لنظام التصديق الإداري."
